frame,track_id,speed_kmh
10,2,1.7
20,2,1.8
20,6,0.1
20,3,2.2
20,1,2.0
30,2,2.0
30,3,2.4
30,1,2.0
30,9,2.3
30,5,1.2
30,8,1.9
40,1,2.1
40,5,2.0
40,10,1.8
50,1,2.2
50,5,2.1
50,3,2.5
50,8,1.7
50,10,2.1
50,9,2.4
60,5,2.2
60,3,2.7
60,8,1.3
60,10,2.2
60,6,0.1
60,9,2.4
70,8,1.0
70,10,2.5
70,6,0.2
70,5,1.9
70,3,2.5
70,9,2.6
70,1,2.0
80,8,0.6
80,10,2.5
80,6,0.4
80,5,4.5
80,3,2.5
80,1,2.0
90,8,0.3
90,6,0.8
90,10,4.0
90,3,2.4
100,8,0.2
100,3,2.8
100,1,2.2
100,6,1.0
100,12,2.7
110,8,0.1
110,3,2.7
110,9,2.8
110,6,1.3
110,1,2.1
120,8,0.1
120,3,2.5
120,14,2.4
120,6,1.7
120,1,2.0
120,12,2.7
130,3,2.6
130,14,2.4
130,17,1.8
130,12,2.6
130,8,0.0
130,9,2.5
140,3,2.5
140,14,2.2
140,19,1.9
140,17,1.3
140,12,2.1
140,8,0.0
140,1,1.7
140,9,2.2
140,6,1.7
150,3,2.5
150,14,2.1
150,19,1.9
150,17,2.0
150,12,2.1
150,8,0.1
150,1,1.7
150,9,1.8
160,14,4.6
160,19,1.5
160,17,1.8
160,12,2.2
160,8,0.1
160,1,1.7
160,22,0.7
160,3,1.8
160,9,1.8
170,19,2.2
170,17,2.1
170,8,0.3
170,1,1.7
170,9,2.0
170,6,1.8
180,19,2.1
180,17,2.2
180,1,2.1
180,8,0.4
190,19,2.2
190,1,2.4
190,8,0.8
190,17,2.2
190,9,2.4
190,6,2.2
200,19,2.2
200,1,2.5
200,17,2.4
200,8,1.0
200,22,0.5
200,6,2.1
200,9,2.4
200,12,2.5
210,1,2.5
210,8,1.2
210,17,2.1
210,22,0.3
210,12,2.3
210,9,2.2
210,25,1.5
220,1,2.5
220,8,1.4
220,19,2.0
220,25,1.9
220,12,2.1
220,22,0.2
230,1,2.9
230,8,1.6
230,19,2.2
230,27,2.2
230,6,2.1
230,22,0.3
230,25,1.8
240,1,2.8
240,8,1.8
240,27,2.1
240,22,0.6
240,25,2.2
240,17,2.4
240,12,2.2
240,19,1.8
240,6,1.8
250,1,3.1
250,27,2.2
250,25,2.4
250,17,2.8
250,19,2.1
250,12,2.3
250,22,0.8
260,1,3.2
260,25,2.7
260,17,3.0
260,19,2.1
260,12,2.6
260,6,1.8
260,22,0.6
270,1,2.5
270,12,2.4
270,6,1.9
270,25,2.2
270,8,1.8
270,29,1.7
280,12,3.4
280,29,2.1
280,6,2.1
290,29,1.8
290,6,2.1
290,19,2.1
290,22,1.3
290,12,2.8
300,29,2.3
300,6,2.1
300,22,1.6
300,19,2.1
310,19,2.2
310,12,3.2
310,25,2.3
310,6,1.8
320,19,2.2
320,12,3.3
320,31,2.3
320,25,2.3
320,32,2.6
330,12,3.3
330,25,2.3
330,6,2.0
330,32,4.6
330,22,2.2
330,30,0.4
330,19,1.9
340,12,3.5
340,30,0.8
340,6,1.8
340,8,2.0
340,19,1.8
350,12,2.0
350,30,0.8
350,6,1.7
350,8,2.3
350,22,1.8
360,30,1.4
360,25,2.0
360,22,2.1
360,6,1.9
360,19,2.0
370,30,0.4
370,34,1.4
370,25,1.7
370,6,1.7
370,19,1.8
370,8,2.2
370,22,1.6
370,35,0.7
380,30,0.4
380,34,1.6
380,19,2.0
380,38,0.0
380,22,1.9
380,36,1.8
380,8,2.0
380,25,1.6
380,35,1.0
390,30,0.5
390,34,1.5
390,19,2.2
390,22,2.2
390,36,2.1
390,35,1.5
390,25,1.7
390,6,1.6
400,34,1.8
400,22,2.2
400,25,2.1
400,6,1.9
400,19,2.0
400,30,0.5
410,6,2.1
410,30,0.4
410,35,1.9
410,39,2.7
410,34,1.7
410,40,1.1
410,25,2.1
410,36,3.0
420,30,0.4
420,35,2.3
420,34,2.1
420,6,1.9
420,19,2.4
420,40,1.1
420,22,2.2
430,30,0.4
430,35,2.4
430,22,2.5
430,34,1.9
430,25,2.5
430,19,2.5
440,30,0.3
440,34,2.1
440,35,2.2
440,40,0.8
440,25,2.5
440,6,2.3
450,30,0.2
450,35,2.5
450,6,2.6
450,34,2.0
450,19,2.8
460,30,0.3
460,35,2.2
460,6,2.6
460,34,2.0
460,22,2.4
460,40,0.5
460,19,3.3
470,30,0.2
470,35,1.8
470,34,2.1
470,40,0.3
470,19,2.8
470,22,2.2
480,30,0.2
480,35,1.8
480,34,2.1
480,40,0.3
480,22,2.2
480,6,2.3
480,25,2.8
490,30,0.3
490,35,1.9
490,34,2.3
490,40,0.4
490,6,3.4
490,22,2.1
500,35,2.1
500,34,2.5
500,6,3.4
500,22,3.0
500,30,0.2
500,40,0.3
510,34,2.5
510,6,3.7
510,22,2.9
510,30,0.1
510,35,1.7
510,40,0.3
